,gisjoin,lat_tract,long_tract,population,adj_radiuspop_5,urbanindex,FIPS,total_pop
14231,G1200110010102,26.29786,-80.08818,2967,210902.0,12.25915,12011,1890416
14591,G1200130010100,30.55828,-85.07367,2363,770.3285,6.646817,12013,14458
14594,G1200150010100,26.90427,-81.7578,5072,608.3481,6.410747,12015,173236
14632,G1200170450101,28.92347,-82.42271,6399,31424.0,10.35533,12017,141373
14659,G1200190030102,30.08308,-81.98221,8033,11788.0,9.374837,12019,203291
14689,G1200210000101,26.13561,-81.79659,1360,78678.0,11.27312,12021,356774
14762,G1200230110201,30.22488,-82.75345,4309,8693.0,9.070273,12023,68484
14774,G1200270010101,27.2745,-81.70552,4141,755.8381,6.627827,12027,35675
14783,G1200290970101,29.64873,-83.1213,5100,1853.137,7.524635,12029,16323
14786,G1200310000100,30.3802,-81.64383,5725,153270.0,11.93996,12031,912043
14959,G1200330000100,30.41187,-87.22084,1451,104481.0,11.55676,12033,309924
15030,G1200350060103,29.56659,-81.19818,2182,74963.0,11.22475,12035,112455
15050,G1200370970100,29.94018,-84.58411,4199,357.0524,5.877882,12037,11675
15054,G1200390020101,30.64215,-84.4582,4240,2312.199,7.745954,12039,46113
15063,G1200410950100,29.80047,-82.8381,5620,1100.795,7.003788,12041,17191
15068,G1200430000100,27.11319,-80.97232,2477,1359.844,7.215126,12043,13197
15071,G1200450960100,30.06395,-85.25205,7628,600.5128,6.397784,12045,16018
15074,G1200470960100,30.51261,-82.90018,8242,543.9142,6.298791,12047,14238
15077,G1200490970101,27.59135,-81.68904,4027,1937.247,7.569023,12049,27326
